Order Date,Sales,Profit
17-10-2013,5175.171,919.971
07-11-2011,1822.08,564.84
14-04-2012,5244.84,996.48
06-06-2013,3701.52,1036.08
25-02-2012,1878.72,582.36
10-01-2011,2875.095,511.095
22-08-2013,3200.5962,-77.2038
28-08-2014,2761.2,110.34
01-05-2014,2174.13,500.01
30-05-2012,1526.52,732.72
05-08-2014,4191.507,1164.267
11-03-2014,3063.27,581.91
18-01-2014,5049,656.37
16-05-2014,2863.35,858.9
28-10-2011,2301,91.95
18-09-2012,2487.8088,-269.7912
28-10-2013,3728.43,1192.86
12-12-2013,1581.48,0
26-12-2013,3739.176,747.816
18-04-2013,1601.64,587.19
24-05-2011,3670.8,367.08
31-05-2013,1455.12,116.4
01-10-2013,1943.19,258.93
19-12-2014,1954.17,312.66
07-11-2013,2330.64,1025.46
11-01-2012,3637.602,156.402
14-06-2012,1024.68,-286.92
25-10-2012,1583.7,174.15
11-03-2013,2892.105,160.605
02-10-2013,3000.78,1080.18
14-03-2014,3569.643,674.163
09-07-2014,2910.0816,125.1216
17-03-2014,2645.376,-0.024
02-01-2013,1637.01,-36.39
10-10-2012,2645.376,-0.024
26-12-2012,1788.822,204.282
01-05-2013,1242.585,-140.715
03-12-2014,2673.36,1069.2
25-06-2013,2046.195,591.045
12-07-2014,1722.2832,539.4432
10-06-2014,1433.8395,-84.3705
19-07-2011,2555.64,664.44
31-10-2014,2272.86,977.22
25-07-2013,5211.12,833.76
03-12-2013,1704.996,378.876
21-05-2011,2539.8765,709.9365
28-12-2011,1066.68,394.65
17-04-2014,1275,140.22
07-11-2014,3309.2598,318.8598
25-11-2011,1336.356,44.436
10-08-2012,3038.64,1245.84
04-10-2012,2756.34,413.28
26-03-2014,1421.541,428.121
16-05-2014,1900.584,-348.516
15-06-2011,1296.24,285.12
28-08-2014,1682.91,487.98
11-10-2014,1029.2589,10.8189
12-06-2013,5751.54,2817.99
13-06-2013,1479.3138,-63.6462
22-09-2014,1282.23,12.69
24-06-2014,5486.67,2316.51
09-08-2012,1226.19,612.99
21-02-2013,1809.255,-258.495
07-01-2013,2993.025,726.825
11-02-2014,1027.728,182.688
29-05-2014,1703.025,737.925
16-04-2014,1803.0837,-130.3863
12-07-2014,2190.75,65.7
06-08-2014,2550,280.44
03-11-2014,2664,905.7
15-12-2014,2043.72,756
06-02-2012,819.936,191.316
04-05-2013,1266.36,265.92
13-10-2012,1136.664,-189.456
19-09-2013,2249.16,224.88
08-09-2014,2152.956,198.636
19-09-2014,1586.412,17.532
05-05-2014,1272.72,534.48
20-06-2013,1063.44,361.41
